89,52,15,9
109,55,14,6
127,54,33,7
164,52,17,9
186,52,32,9
222,52,29,11
255,52,38,9
298,52,16,9
319,52,50,11
373,52,11,9
387,52,14,9
406,52,21,9
433,52,23,9
461,52,22,9
488,54,56,9
54,72,20,9
79,75,24,8
109,72,11,9
123,72,14,9
141,72,26,9
171,75,34,6
210,72,16,9
231,75,20,6
255,72,20,9
280,72,22,9
306,75,25,6
336,72,36,9
377,75,9,6
390,74,28,7
423,72,37,10
465,75,13,6
483,72,21,9
509,72,37,9
53,92,47,12
103,94,18,7
126,92,7,9
137,92,29,9
170,92,52,9
226,95,8,6
238,82,14,28
255,92,78,12
308,82,7,28
322,82,10,28
338,82,22,28
366,82,40,28
410,92,20,9
434,92,15,9
89,121,30,8
125,121,52,8
183,123,8,6
198,110,13,29
215,121,48,11
269,120,43,9
317,121,21,8
342,123,16,6
370,121,15,11
389,122,9,7
403,121,24,8
439,121,14,8
458,121,45,8
508,121,39,9
544,110,5,29
53,144,29,8
88,144,4,6
96,141,21,11
123,141,25,9
153,144,16,6
174,141,33,10
212,144,10,6
227,144,5,6
237,143,43,7
286,141,20,9
311,144,5,6
321,141,38,11
365,143,50,9
420,141,47,9
472,141,54,9
531,144,16,6
53,163,42,10
101,164,10,6
117,161,25,12
149,163,54,10
210,164,8,6
225,161,13,9
245,161,48,12
309,162,16,8
331,163,15,7
352,161,20,12
379,161,14,9
399,163,34,7
440,161,11,9
455,161,29,9
491,161,55,10
53,182,54,11
112,184,36,8
153,182,22,9
180,182,35,9
220,182,17,9
242,184,11,6
257,184,17,6
279,182,28,9
312,182,34,9
350,182,26,9
381,182,17,9
401,182,21,11
426,182,26,9
457,182,10,8
472,182,16,9
493,182,16,9
514,184,33,7
53,202,40,9
97,204,45,9
145,202,14,8
162,202,30,11
196,203,8,7
208,204,19,6
231,201,13,9
247,202,21,8
272,201,37,9
89,230,15,8
108,232,14,6
126,231,8,7
138,232,5,6
147,230,47,9
199,232,34,6
241,232,8,6
253,232,16,7
273,230,30,11
315,230,13,8
332,232,24,7
359,230,24,9
374,220,10,28
387,232,25,7
417,230,39,9
461,231,5,7
471,232,7,6
482,232,23,6
509,230,38,9
53,250,14,9
71,253,9,6
84,252,9,7
97,250,11,9
113,250,34,11
151,253,10,6
165,250,53,9
229,250,16,9
249,250,24,9
277,250,38,11
319,252,9,7
332,250,33,11
369,250,14,9
387,250,32,9
423,250,17,9
444,250,41,9
489,250,17,9
510,250,37,9
53,270,24,9
81,271,20,8
105,270,17,9
126,270,52,9
182,273,8,6
193,270,24,9
220,272,45,7
268,270,16,9
288,272,9,7
300,273,14,9
319,271,32,11
355,273,11,6
370,273,23,6
89,299,56,11
148,298,10,9
161,298,30,9
195,299,52,8
251,299,21,8
276,300,9,7
289,299,18,8
311,299,21,8
335,301,25,6
365,288,7,28
395,299,34,8
433,299,16,8
453,299,11,8
468,299,19,8
491,299,56,8
382,300,9,7
53,319,14,9
70,319,21,9
95,321,34,7
137,319,28,9
169,319,20,9
192,321,35,7
231,319,36,9
271,321,18,7
293,319,14,9
311,321,18,7
333,322,5,6
342,319,23,9
369,322,16,8
388,321,22,7
414,319,51,9
469,319,17,9
490,319,21,9
514,319,33,9
53,339,51,9
108,341,15,7
127,339,31,9
162,341,9,7
175,339,40,9
220,342,5,6
229,339,60,11
294,339,48,11
347,339,37,9
389,342,8,5
401,340,59,10
465,339,30,10
500,339,47,10
53,361,64,7
121,362,10,6
135,359,14,9
153,361,44,9
201,362,25,6
237,359,15,9
256,361,23,7
283,361,34,7
321,359,20,9
